WARNING:root:Automatically setting rho to 0.206
INFO:root:Iteration 551, violation 2.228
INFO:root:Iteration 552, violation 2.165
INFO:root:Iteration 553, violation 2.099
INFO:root:Iteration 554, violation 2.029
INFO:root:Iteration 555, violation 1.956
INFO:root:Iteration 556, violation 1.881
INFO:root:Iteration 557, violation 1.802
INFO:root:Iteration 558, violation 1.721
INFO:root:Iteration 559, violation 1.707
INFO:root:Iteration 560, violation 1.714
INFO:root:Iteration 561, violation 1.717
INFO:root:Iteration 562, violation 1.716
INFO:root:Iteration 563, violation 1.711
INFO:root:Iteration 564, violation 1.702
INFO:root:Iteration 565, violation 1.689
INFO:root:Iteration 566, violation 1.672
INFO:root:Iteration 567, violation 1.650
INFO:root:Iteration 568, violation 1.624
INFO:root:Iteration 569, violation 1.595
INFO:root:Iteration 570, violation 1.560
INFO:root:Iteration 571, violation 1.562
INFO:root:Iteration 572, violation 1.581
INFO:root:Iteration 573, violation 1.596
INFO:root:Iteration 574, violation 1.606
INFO:root:Iteration 575, violation 1.611
INFO:root:Iteration 576, violation 1.612
INFO:root:Iteration 577, violation 1.607
INFO:root:Iteration 578, violation 1.599
INFO:root:Iteration 579, violation 1.585
INFO:root:Iteration 580, violation 1.567
INFO:root:Iteration 581, violation 1.545
INFO:root:Iteration 582, violation 1.518
INFO:root:Iteration 583, violation 1.514
INFO:root:Iteration 584, violation 1.556
INFO:root:Iteration 585, violation 1.596
INFO:root:Iteration 586, violation 1.636
INFO:root:Iteration 587, violation 1.675
INFO:root:Iteration 588, violation 1.713
INFO:root:Iteration 589, violation 1.751
INFO:root:Iteration 590, violation 1.789
INFO:root:Iteration 591, violation 1.826
INFO:root:Iteration 592, violation 1.864
INFO:root:Iteration 593, violation 1.901
INFO:root:Iteration 594, violation 1.938
INFO:root:Iteration 595, violation 1.976
INFO:root:Iteration 596, violation 2.013
INFO:root:Iteration 597, violation 2.051
INFO:root:Iteration 598, violation 2.089
INFO:root:Iteration 599, violation 2.127
INFO:root:Iteration 600, violation 2.164
INFO:root:Iteration 601, violation 2.202
INFO:root:Iteration 602, violation 2.240
INFO:root:Iteration 603, violation 2.277
INFO:root:Iteration 604, violation 2.315
INFO:root:Iteration 605, violation 2.351
INFO:root:Iteration 606, violation 2.388
INFO:root:Iteration 607, violation 2.423
INFO:root:Iteration 608, violation 2.458
INFO:root:Iteration 609, violation 2.492
INFO:root:Iteration 610, violation 2.524
INFO:root:Iteration 611, violation 2.555
INFO:root:Iteration 612, violation 2.585
INFO:root:Iteration 613, violation 2.613
INFO:root:Iteration 614, violation 2.639
INFO:root:Iteration 615, violation 2.663
INFO:root:Iteration 616, violation 2.684
INFO:root:Iteration 617, violation 2.703
INFO:root:Iteration 618, violation 2.720
INFO:root:Iteration 619, violation 2.733
INFO:root:Iteration 620, violation 2.744
INFO:root:Iteration 621, violation 2.751
INFO:root:Iteration 622, violation 2.755
INFO:root:Iteration 623, violation 2.755
INFO:root:Iteration 624, violation 2.752
INFO:root:Iteration 625, violation 2.745
INFO:root:Iteration 626, violation 2.734
INFO:root:Iteration 627, violation 2.718
INFO:root:Iteration 628, violation 2.699
INFO:root:Iteration 629, violation 2.676
